Harga Gabah Kering Giling (GKG) (Rp/Kg)
6098.88
6094.17
5554.68
5366.65
5373.33
5467.96
5312.54
5399.9
5500.53
5567.64
5753.72
5818
5902.62
5951.96
5654.01
5221.35
5298.2
5360.9
5384.75
5423.16
5521.89
5622.16
5728.03
5886.34
5910.57
5943.96
5887.58
5807.98
5707.16
5957.84
5600.77
5516.39
5519.43
5526.7
5440.28
5475.51
5431.82
5431.31
5330.78
4994.47
5047.66
5084.76
5001.51
5147.63
5164.2
5123.94
5172.36
5171.23
5501.65
5568.1
5473.69
5193.66
5253.75
5268.62
5322.78
5614.75
5916.1
6006.04
5899.81
6278.41
6615.29
6557.1
6178.33
6220.42
6264.45
6460.29
6505.73
6867.79
7498.08
7817.79
7706.19
7839.29
8207.4
8714.62
8230.79
7067.49
6796.58
6985.72
7291.43
7291.34
7219.97
7212.3
7107.41
