Tanggal;Harga Gabah Kering Giling (GKG) (Rp/Kg);ln (Data);Omega;P;Periodogram;F;1;1;2;2;3;3;4;4;5;5;6;6;7;7;8;8;9;9;10;10;11;11;12;12;13;13;14;14;15;15;16;16;17;17;18;18;19;19;20;20;21;21;22;22;23;23;24;24;25;25;26;26;27;27;28;28;29;29;30;30;31;31;32;32;33;33;34;34;35;35;36;36;37;37;38;38;39;39;40;40;41;41;;;;;;;;
;;;;;;;a1;b1;a2;b2;a3;b3;a4;b4;a5;b5;a6;b6;a7;b7;a8;b8;a9;b9;a10;b10;a11;b11;a12;b12;a13;b13;a14;b14;a15;b15;a16;b16;a17;b17;a18;b18;a19;b19;a20;b20;a21;b21;a22;b22;a23;b23;a24;b24;a25;b25;a26;b26;a27;b27;a28;b28;a29;b29;a30;b30;a31;b31;a32;b32;a33;b33;a34;b34;a35;b35;a36;b36;a37;b37;a38;b38;a39;b39;a40;b40;a41;b41;;;;;;;;
9;5500.53;8.61259973;0.68130925;9.222222222;0.00156089;0.04291282;0.16120064;0.130706167;0.042892285;0.203051718;-0.094567577;0.184734192;-0.189802791;0.083932407;-0.200290604;-0.054345397;-0.121348184;-0.168357853;0.01177649;-0.207198124;0.139642933;-0.153523938;0.205158473;-0.031300947;0.179070265;0.104897992;0.073026755;0.194259727;-0.065623375;0.196884029;-0.174972511;0.111599142;-0.206196003;-0.023515028;-0.145352487;-0.148129683;-0.019608738;-0.20660408;0.11489036;-0.172829262;0.198090637;-0.061885765;0.192842972;0.076689873;0.101490459;0.1810233;-0.035177787;0.204529391;-0.156139066;0.13671262;-0.207383879;0.007853337;-0.166031295;-0.124512479;-0.050545341;-0.201283176;0.087509229;-0.188180454;0.186490719;-0.091054709;0.202203657;0.046727181;0.127632179;0.163645273;-0.003927372;0.207495359;-0.133733342;0.158698272;-0.203827055;0.039042027;-0.182911501;-0.098046576;-0.080325525;-0.191357149;0.05812599;-0.199226298;0.170624112;-0.118140428;0.20693816;0.015695424;0.150853825;0.142523233;0.027412897;0.205714077;-0.108267955;0.177053094;-0.195606907;0.069337482;;;;;;;;
10;5567.64;8.624726545;0.757010278;8.3;0.002834191;0.077987316;0.151066232;0.14272391;0.011793071;0.207489866;-0.133921643;0.158921724;-0.206486334;0.023548138;-0.166265072;-0.124687797;-0.035227318;-0.204817375;0.115052129;-0.173072611;0.202488366;-0.046792974;0.179322401;0.105045692;0.058207834;0.199506814;-0.094700732;0.184994304;-0.195882328;0.069435111;-0.190070039;-0.084050587;-0.080438626;-0.191626586;0.073129579;-0.194533251;0.186753304;-0.091182917;0.198369555;0.061972902;0.10163336;0.181278187;-0.05061651;0.201566589;-0.175218878;0.111756278;-0.20411405;-0.039097;-0.121519047;-0.168594906;0.027451495;-0.206003729;0.161427615;-0.130890205;0.207229535;0.015717524;0.139839555;0.153740105;-0.003932902;0.207787519;-0.145557148;0.148338254;-0.207675883;0.007864395;-0.156358915;-0.136905115;-0.019636348;-0.206894985;0.127811889;-0.16387569;0.205447343;-0.03134502;0.170864356;0.118306774;0.042952679;0.203337621;-0.1084204;0.177302391;-0.20057262;0.054421917;-0.183169047;-0.098184629;-0.065715775;-0.197161248;0.087632445;-0.188445418;0.193114501;-0.076797855;;;;;;;;
11;5753.72;8.657601881;0.832711306;7.545454545;0.009151256;0.252910589;0.140372589;0.154326124;-0.019711197;0.207683618;-0.166898834;0.125163076;-0.204892083;-0.039246028;-0.108833672;-0.177978224;0.058429707;-0.200267285;0.187465162;-0.091530484;0.193850606;0.07709059;0.073408331;0.195274763;-0.095061708;0.185699456;-0.201337153;0.05462936;-0.17588677;-0.112182265;-0.035361596;-0.205598088;0.128299077;-0.164500344;0.208019443;-0.015777435;0.151642059;0.143267938;-0.003947893;0.208579554;-0.156954917;0.137426964;-0.207273409;-0.023637898;-0.121982247;-0.169237548;0.043116404;-0.204112694;0.180005934;-0.1054461;0.199125691;0.062209128;0.087966478;0.189163725;-0.080745238;0.192357019;-0.196628983;0.069699781;-0.183867242;-0.098558884;-0.050809448;-0.202334911;0.115490679;-0.173732321;0.206230457;-0.031464499;0.162042938;0.131389127;0.011838024;0.208280766;-0.146111976;0.148903683;-0.208467492;-0.007894372;-0.134432119;-0.159527495;0.027556133;-0.206788964;0.171515649;-0.11875773;0.203260202;0.046971337;0.102020762;0.181969175;-0.065966267;0.197912778;-0.190794539;0.084370967;;;;;;;;
12;5818;8.668711839;0.908412334;6.916666667;0.001993555;0.054824174;0.128463718;0.164711441;-0.050874649;0.20259456;-0.191039378;0.084479237;-0.184103191;-0.098685361;-0.035406974;-0.205861924;0.140552723;-0.154524165;0.208286387;0.015797682;0.115638884;0.173955265;-0.066050919;0.198166752;-0.196881309;0.069789224;-0.176112478;-0.112326224;-0.019736491;-0.20795013;0.151836655;-0.143451788;0.206495105;0.031504876;0.102151681;0.182202688;-0.080848855;0.192603863;-0.201595521;0.054699464;-0.167113009;-0.125323693;-0.003952959;-0.208847216;0.162250881;-0.131557733;0.203521038;0.047031614;0.088079362;0.189406472;-0.095183696;0.185937757;-0.205155013;0.039296391;-0.157156331;-0.137603319;0.011853215;-0.208548045;0.171735748;-0.118910127;0.199381221;0.062288958;0.073502533;0.195525352;-0.108973334;0.178206616;-0.207539395;0.023668231;-0.146299476;-0.149094765;0.027591495;-0.207054329;0.180236929;-0.105581415;0.194099366;0.077189517;0.058504688;0.20052428;-0.122138782;0.169454724;-0.20873501;0.007904503;-0.134604631;-0.15973221;0.043171733;-0.204374624;0.187705728;-0.091647941;;;;;;;;
13;5902.62;8.683151599;0.984113361;6.384615385;0.006519463;0.179849471;0.115831507;0.174245028;-0.080983528;0.19292469;-0.205496746;0.039361848;-0.146543172;-0.149343117;0.043243646;-0.204715058;0.194422684;-0.077318094;0.172021814;0.1191082;-0.003959544;0.2091951;-0.176405835;0.11251333;-0.191357599;-0.084619957;-0.035465953;-0.206204835;0.152089575;-0.143690741;0.20386005;0.047109956;0.073624969;0.195851045;-0.122342233;0.16973699;-0.209082707;-0.007917669;-0.109154855;-0.178503461;0.088226079;-0.189721972;0.206839071;-0.031557355;0.140786847;0.154781561;-0.050959393;0.202932028;-0.197209261;0.069905474;-0.167391374;-0.125532449;0.011872959;-0.20889543;0.180537155;-0.105757285;0.188018396;0.091800602;0.027637455;0.207399226;-0.157418111;0.137832529;-0.201931326;-0.054790579;-0.066160942;-0.198496845;0.128677704;-0.164985806;0.208633336;0.015823997;0.102321838;0.182506189;-0.095342247;0.18624748;-0.2078851;0.023707656;-0.134828846;-0.159998282;0.058602141;-0.2008583;0.199713337;-0.062392715;0.162521148;0.131776873;-0.019769367;0.208296519;-0.184409858;0.098849744;;;;;;;;
14;5951.96;8.691475856;1.059814389;5.928571429;0.005414872;0.149263907;0.102419931;0.182681152;-0.109259498;0.178674586;-0.209283148;-0.00792526;-0.095433649;-0.186426029;0.115942551;-0.174412071;0.208833346;0.015839167;0.088310658;0.189903853;-0.122459518;0.169899712;-0.208084393;-0.023730384;-0.081061164;-0.193109641;0.128801063;-0.165143973;0.207037361;0.031587608;0.073695551;0.196038801;-0.134958102;0.160151667;-0.205693749;-0.039399583;-0.066224369;-0.198687138;0.140921814;-0.154929945;0.204055484;0.047155119;0.058658321;0.201050857;-0.146683658;0.149486288;-0.202124911;-0.054843105;-0.051008246;-0.203126573;0.152235378;-0.143828493;0.199904796;0.062452529;0.043285102;0.204911311;-0.157569023;0.137964665;-0.197398319;-0.06997249;-0.035499953;-0.206402517;0.162676951;-0.131903204;0.194609071;0.077392217;0.02766395;0.207598053;-0.167551847;0.125652792;-0.191541047;-0.084701079;-0.019788319;-0.208496206;0.172186726;-0.119222385;0.188198643;0.091888609;0.011884341;0.209095691;-0.176574949;0.112621192;-0.184586646;-0.098944509;-0.00396334;-0.209395648;0.18071023;-0.105858671;;;;;;;;
15;5654.01;8.640120307;1.135515417;5.533333333;0.002188503;0.060193449;0.087788855;0.188781763;-0.134160672;0.159205374;-0.20093061;-0.054519052;-0.035290193;-0.205182941;0.171169322;-0.118517932;0.179642463;0.105233181;-0.019671395;0.207264259;-0.196231946;0.069559042;-0.145816944;-0.148603014;0.073260104;-0.194880461;0.207599407;-0.015745577;0.10181476;0.181601739;-0.121735939;0.168895821;-0.204478361;-0.039166782;-0.050706852;-0.201926353;0.161715738;-0.131123824;0.187086629;0.091345664;-0.003939921;0.208158387;-0.190409284;0.084200604;-0.156637991;-0.137149469;0.058311725;-0.199862902;0.205814033;-0.031400966;0.115257479;0.173381518;-0.108613913;0.177618847;-0.206854879;-0.023590168;-0.065833067;-0.19751315;0.151335861;-0.142978649;0.193459179;0.076934927;0.01181412;0.207860202;-0.183495974;0.098359873;-0.166561829;-0.124910344;0.043029342;-0.203700547;0.202849776;-0.046876492;0.128040013;0.164168182;-0.094869757;0.185324489;-0.208046551;-0.007878432;-0.080582196;-0.191968609;0.140089146;-0.154014506;0.198723613;0.062083514;0.027500491;0.206371413;-0.175531616;0.111955745;;;;;;;;
16;5221.35;8.560511268;1.211216445;5.1875;0.00056961;0.01564935;0.072585094;0.193084856;-0.155194747;0.13588579;-0.181805264;-0.097453596;0.027247105;-0.204469931;0.200980742;-0.046444577;0.11419551;0.171784001;-0.120614278;0.167339635;-0.199079259;-0.05401672;-0.019490145;-0.205354551;0.185362835;-0.090504016;0.14994147;0.141661261;-0.079839721;0.190199833;-0.206129635;-0.007805841;-0.065226489;-0.195693287;0.160225708;-0.129915664;0.177987259;0.104263575;-0.034965034;0.20329241;-0.202594322;0.038805904;-0.107613158;-0.175982288;0.126860268;-0.162655556;0.196892597;0.061511484;0.011705266;0.205945003;-0.188654875;0.08342479;-0.144473404;-0.147233804;0.086979979;-0.18704235;0.205686611;0.0156005;0.057774448;0.198021389;-0.165027148;0.123759435;-0.173914289;-0.110924198;0.042632875;-0.201823674;0.203917688;-0.031111641;0.100876651;0.179928483;-0.132924531;0.157738475;-0.194423888;-0.068918133;-0.003903619;-0.20624044;0.191676669;-0.076226058;0.138798381;0.152595435;-0.093995639;0.183616931;-0.204948943;-0.023372811;-0.050239645;-0.200065828;0.169592188;-0.117425922;;;;;;;;
17;5298.2;8.575122419;1.286917473;4.882352941;0.001749714;0.048110297;0.057873058;0.198359374;-0.174211127;0.111113524;-0.155459635;-0.136117721;0.087128437;-0.187361596;0.204265736;0.031164742;0.027293611;0.204818922;-0.188976873;0.08356718;-0.133151408;-0.158007704;0.11439042;-0.172077203;0.197228655;0.061616472;-0.003910282;0.206592453;-0.199419049;0.054108916;-0.107796833;-0.176282656;0.139035284;-0.152855886;0.185679214;0.090658489;-0.035024712;0.203639391;-0.205298751;0.023412704;-0.079975992;-0.190524467;0.160499183;-0.130137405;0.169881649;0.117626346;-0.065337818;0.196027298;-0.206481459;-0.007819164;-0.050325395;-0.200407302;0.178291049;-0.104441533;0.150197392;0.14190305;-0.094156071;0.18393033;-0.202940112;-0.038872138;-0.019523411;-0.205705052;0.192003825;-0.076356161;0.127076794;0.162933178;-0.120820144;0.167625251;-0.194755733;-0.069035763;0.011725245;-0.206296512;0.201323778;-0.046523849;0.101048828;0.180235586;-0.144719993;0.147485103;-0.182115571;-0.097619931;0.042705641;-0.202168148;0.206037678;-0.015627127;0.072708983;0.193414415;-0.165308818;0.123970669;;;;;;;;
18;5360.9;8.58688715;1.3626185;4.611111111;0.004245201;0.116927045;0.042764232;0.202445515;-0.189236142;0.083681831;-0.120985904;-0.167855227;0.139226035;-0.153065599;0.178535657;0.104584823;-0.065427459;0.19629624;-0.205580413;-0.023444825;-0.019550197;-0.205987271;0.197499245;-0.061701007;0.101187463;0.180482862;-0.155672919;0.136304469;-0.165535615;-0.124140752;0.087247974;-0.187618648;0.201599986;0.046587678;-0.003915647;0.20687589;-0.203218538;0.038925469;-0.080085716;-0.19078586;0.17011472;-0.117787725;0.150403457;0.142097735;-0.107944726;0.176524509;-0.19502293;-0.069130478;0.027331057;-0.205099926;0.206320354;-0.015648566;0.057952457;0.198631515;-0.182365426;0.097753862;-0.133334086;-0.158224485;0.127251138;-0.163156716;0.185933958;0.090782869;-0.050394439;0.200682253;-0.206764743;-0.007829891;-0.035072765;-0.203918776;0.192267246;-0.076460919;0.114547359;0.172313286;-0.144918543;0.147687447;-0.174450138;-0.111265968;0.072808737;-0.193679772;0.20454598;0.031207499;0.011741331;0.206579542;-0.199692644;0.054183151;-0.09428525;-0.184182675;0.160719382;-0.130315949;;;;;;;;
