Nilai USD 1 dalam Rupiah

13958.35
13583.2
13259.14
13245.81
13486.70
13421.68
13184.53
13230.91
13183.76
13082.24
13377.05
13484.76
13425.67
13407.84
13412.50
13372.89
13390.10
13364.62
13409.10
13408.82
13370.00
13593.68
13595.36
13624.21
13447.36
13657.95
13827.29
13872.05
14130.00
14106.36
14486.64
14632.57
14943.00
15254.74
14770.38
14569.47
14233.91
14105.37
14282.10
14213.32
14464.76
14297.73
14114.26
14313.05
14181.57
14188.21
14139.06
14087.54
13800.89
13845.03
15270.55
15946.77
14980.72
14266.93
14655.32
14798.12
14922.20
14822.88
14308.00
14243.95
14132.21
14112.31
14489.48
14630.98
14394.81
14409.92
14583.75
14469.69
14328.24
14269.44
14334.82
14400.56
14406.92
14422.81
14420.38
14440.58
14681.04
14762.02
15059.30
14924.89
15046.63
15494.56
15737.02
15693.07
15371.71
15201.63
15377.22
14941.05
14884.91
15006.66
15114.95
15321.36
15430.97
15819.93
15695.50
15590.94
15688.87
15743.66
15781.12
16180.50
16164.36
16411.04
16342.96
15872.15
15417.96
15619.06
15891.41
16103.62
16343.31
16419.59
16538.44
16904.10
16522.91
16392.11
16357.82
